id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
31320001,CASTANET-TOLOSAN,Route de Labège,1.11,Intermarché,recognised,node/256671794,brand=Intermarché | operator=Groupement des Mousquetaires,12,
31450006,Pompertuzat,Avenue de Lauragais - Lieu dit Condamine,2.57,Intermarché,recognised,way/828506450,brand=Intermarché | name=Intermarché,202,
31520003,RAMONVILLE-SAINT-AGNE,1 Rue Louis Braille,2.8,Intermarché,recognised,way/847954172,brand=Intermarché | name=Intermarché,161,
31520005,RAMONVILLE SAINT AGNE,98 AVENUE TOLOSANE,3.17,TotalEnergies,recognised,way/73843868,brand=TotalEnergies | operator=Total | name=TotalEnergies,35,
31670001,LABEGE,CENTRE COMMERCIAL DE L'AUTAN,3.27,TotalEnergies,recognised,node/11009665969,brand=TotalEnergies | name=TotalEnergies,49,
31673001,LABèGE,Centre Commercial LABEGE 2,3.89,Carrefour,recognised,way/67896782,brand=Carrefour | name=Carrefour,64,
31520007,Ramonville-Saint-Agne,53 Av. Tolosane,4.17,Avia,recognised,node/232576197,brand=Avia | name=Avia,14,
31450004,BELBERAUD,ZA DE LA BALME,4.63,Super U,recognised,way/64184130,brand=Station U | operator=Super U | name=Station U,106,
31650003,Saint-Orens-de-Gameville,5 AV DE GAMEVILLE,5.09,TotalEnergies,recognised,way/75024802,brand=TotalEnergies | operator=Total | name=Total,99,
31450008,DEYME,AUTOROUTE A61AIRE DE TOULOUSE SUD NORD,5.34,Dyneff,recognised,node/11009665968,brand=Dyneff | operator=E. Leclerc | name=Dyneff,120,1
31450009,DEYME,AUTOROUTE A61AIRE DE TOULOUSE SUD SUD,5.35,Dyneff,recognised,node/11009665968,brand=Dyneff | operator=E. Leclerc | name=Dyneff,3,
31650002,SAINT-ORENS-DE-GAMEVILLE,Allée des Champs Pinsons,5.65,E.Leclerc,recognised,way/75018507,brand=E.Leclerc | operator=E. Leclerc | name=Station Service E.Leclerc,104,
31400005,Toulouse,105 Route de Narbonne,6.46,Esso Express,recognised,node/5822476542,brand=Esso Express | name=Esso Express,59,
31400002,TOULOUSE,68 Route de Revel,6.6,Esso,recognised,way/344273891,brand=Esso | operator=Esso Express | name=Esso,44,
31400006,TOULOUSE,90 Route de Revel,6.6,Esso,recognised,way/344273891,brand=Esso | operator=Esso Express | name=Esso,44,1
31120003,PORTET-SUR-GARONNE,RTE DE LA CROIX FALGARDE,6.62,TotalEnergies,recognised,node/5615159503,brand=TotalEnergies | name=Total,2,
31400008,Toulouse,170 Avenue de Lespinet,6.79,Dyneff,recognised,node/1345743774,brand=Dyneff,66,
31400007,TOULOUSE,58 Route de Narbonne,6.87,Avia,recognised,way/60136158,brand=Avia | name=Avia,51,
31120005,Portet-sur-Garonne,50 Route d'Espagne,7.4,Esso Express,recognised,node/5615159502,brand=Esso Express | name=Esso Express,15,
31400013,TOULOUSE,56 AVENUE DE RANGUEIL,7.45,Avia,recognised,node/2439481232,brand=Avia | operator=Avia | name=Avia,2,
31120010,PORTET SUR GARONNE,43 ROUTE D ESPAGNE,8.14,Total Access,recognised,way/84374025,brand=Total Access | name=Total Access,81,1
31120009,Portet-sur-Garonne,106 ROUTE D'ESPAGNE,8.2,Total Access,recognised,way/84374025,brand=Total Access | name=Total Access,57,
31120001,PORTET-SUR-GARONNE,Boulevard de l'Europe,8.26,Carrefour,recognised,way/84373590,brand=Carrefour | name=Carrefour,25,
31500015,Toulouse,228 AVENUE DE CASTRES,8.75,Avia,recognised,way/36732997,brand=Avia | operator=Avia | name=Avia,2,
31084001,TOULOUSE,10 Boulevard de Thibaud,8.76,TotalEnergies,recognised,node/730731247,brand=Total | operator=Total | name=TotalEnergies Thibaud,27,
31100011,TOULOUSE,80 ROUTE D ESPAGNE,8.89,Total Access,recognised,way/62386725,brand=Total Access | operator=SARL Solika KFJ | name=Relais d'Espagne,54,
31120007,PINSAGUEL,99 Rue d'Andorre,8.89,,unmatched,,,,
31400010,TOULOUSE,36 ALLEE DES DEMOISELLES,8.98,TotalEnergies,recognised,node/2439481234,brand=TotalEnergies | operator=TotalEnergies | name=Total Demoiselles,80,
31100004,TOULOUSE,138 bis Route de Seysses,9.1,Carrefour Market,recognised,node/5615159501,brand=Carrefour Market | name=Carrefour Market,2,
