id,cp,ville,adresse,lat,lon,dist_km,pop
31320004,31320,CASTANET TOLOSAN,23 Avenue du Lauragais,43.51426,1.49981,0.2,R
31320005,31320,Castanet-Tolosan,23 Avenue du Lauragais,43.51412,1.49983,0.22,R
31320001,31320,CASTANET-TOLOSAN,Route de Labège,43.521,1.512,1.11,R
31450006,31450,Pompertuzat,Avenue de Lauragais - Lieu dit Condamine,43.497,1.518,2.57,R
31520003,31520,RAMONVILLE-SAINT-AGNE,1 Rue Louis Braille,43.53573,1.4783,2.8,R
31520004,31520,RAMONVILLE-SAINT-AGNE,98 Avenue Tolosane,43.54027,1.47921,3.17,R
31520005,31520,RAMONVILLE SAINT AGNE,98 AVENUE TOLOSANE,43.54027,1.47921,3.17,R
31670001,31670,LABEGE,CENTRE COMMERCIAL DE L'AUTAN,43.531,1.535,3.27,R
31590003,31520,Ramonville-Saint-Agne,Avenue Tolosane,43.546,1.475,3.89,R
31673001,31670,LABèGE,Centre Commercial LABEGE 2,43.551,1.504,3.89,R
31520007,31520,Ramonville-Saint-Agne,53 Av. Tolosane,43.54777,1.47239,4.17,R
31450004,31450,BELBERAUD,ZA DE LA BALME,43.50653,1.55587,4.63,R
31650001,31650,SAINT-ORENS-DE-GAMEVILLE,4 AV.DE GAMEVILLE,43.55566,1.53092,5.06,R
31650003,31650,Saint-Orens-de-Gameville,5 AV DE GAMEVILLE,43.556,1.531,5.09,R
31450002,31450,Deyme,AIRE DE TOULOUSE SUD A 61,43.484,1.549,5.33,A
31450008,31450,DEYME,AUTOROUTE A61AIRE DE TOULOUSE SUD NORD,43.483,1.548,5.34,A
31450009,31450,DEYME,AUTOROUTE A61AIRE DE TOULOUSE SUD SUD,43.48373,1.54906,5.35,A
31650002,31650,SAINT-ORENS-DE-GAMEVILLE,Allée des Champs Pinsons,43.565,1.519,5.65,R
31400005,31400,Toulouse,105 Route de Narbonne,43.566,1.459,6.46,R
31400002,31400,TOULOUSE,68 Route de Revel,43.575,1.49,6.6,R
31400006,31400,TOULOUSE,90 Route de Revel,43.575,1.49,6.6,R
31120003,31120,PORTET-SUR-GARONNE,RTE DE LA CROIX FALGARDE,43.518,1.418,6.62,R
31400008,31400,Toulouse,170 Avenue de Lespinet,43.57413,1.4736,6.79,R
31400007,31400,TOULOUSE,58 Route de Narbonne,43.569,1.456,6.87,R
31120005,31120,Portet-sur-Garonne,50 Route d'Espagne,43.543,1.416,7.4,R
31400009,31400,TOULOUSE,56 Avenue de Rangueil,43.575,1.456,7.45,R
31400011,31400,Toulouse,56 AVENUE DE RANGUEIL,43.575,1.456,7.45,R
31400013,31400,TOULOUSE,56 AVENUE DE RANGUEIL,43.57506,1.45603,7.45,R
31120004,31120,PORTET-SUR-GARONNE,43 Route d'Espagne,43.52465,1.39971,8.14,R
31120010,31120,PORTET SUR GARONNE,43 ROUTE D ESPAGNE,43.52465,1.39971,8.14,R
31120008,31120,PORTET-SUR-GARONNE,106 Route d'Espagne,43.52456,1.39916,8.19,R
31120009,31120,Portet-sur-Garonne,106 ROUTE D'ESPAGNE,43.525,1.399,8.2,R
31120002,31120,PORTET-SUR-GARONNE,106 Route d'Espagne,43.52429,1.39857,8.23,R
31130011,31130,BALMA,104 ROUTE DE CASTRES,43.58938,1.514,8.23,R
31120001,31120,PORTET-SUR-GARONNE,Boulevard de l'Europe,43.53348,1.40042,8.26,R
31130002,31130,Balma,ROUTE DE CASTRES LASBORDES,43.59355,1.50384,8.62,R
31500014,31500,Toulouse,228 Avenue de Castres,43.594,1.489,8.71,R
31500015,31500,Toulouse,228 AVENUE DE CASTRES,43.59438,1.48893,8.75,R
31084001,31084,TOULOUSE,10 Boulevard de Thibaud,43.553,1.404,8.76,R
31100011,31100,TOULOUSE,80 ROUTE D ESPAGNE,43.574,1.424,8.89,R
31120007,31120,PINSAGUEL,99 Rue d'Andorre,43.504,1.391,8.89,R
31400010,31400,TOULOUSE,36 ALLEE DES DEMOISELLES,43.59,1.455,8.98,R
31100004,31100,TOULOUSE,138 bis Route de Seysses,43.55924,1.40412,9.1,R
31500013,31500,Toulouse,6 rue claudius Rougenet,43.598,1.486,9.18,R
31860001,31860,LABARTHE-SUR-LèZE,CHEZ MANON - 496 RN20,43.45555,1.41651,9.52,R
31450003,31450,MONTGISCARD,Route Départ. 813 Lieu dit en Rouzaut,43.454,1.585,9.73,R
31860004,31860,PINS-JUSTARET,Chemin de la Croisette,43.479,1.389,9.86,R
31500012,31500,Toulouse,144 Avenue Jean Chaubet,43.605,1.479,10.03,R
31860006,31860,PINS JUSTARET,21 CHEMIN DE LA CROISETTE,43.48106,1.38543,10.03,R
31300005,31300,Toulouse,BOULEVARD DEODAT DE SEVERAC,43.58821,1.42364,10.11,R
31500008,31500,TOULOUSE,151 AVENUE JEAN CHAUBET,43.606,1.481,10.11,R
31130007,31130,FLOURENS,Lieu dit MOUSSARD  Route de Castres,43.58834,1.57824,10.21,R
31130003,31130,Balma,23 Avenue des Aérostiers,43.609,1.489,10.37,R
31130006,31130,BALMA,43   Avenue des Aérostiers,43.60917,1.49007,10.38,R
31130008,31130,BALMA,43 AVENUE DES AEROSTIERS,43.60917,1.49007,10.38,R
31106001,31100,Toulouse,PLACE EDOUARD BOUILLIERES,43.569,1.393,10.44,R
31810003,31810,VERNET,AVENUE DE TOULOUSE,43.438,1.426,10.54,R
31120006,31120,Roques,1 Allée de Fraïxinet,43.512,1.369,10.57,R
31810002,31810,VENERQUE,Route de Narbonne Rd19,43.426,1.457,10.6,R
31000001,31100,Toulouse,328 Route de Saint-Simon,43.588,1.41,10.79,R
31130004,31130,Balma,Chemin des Arènes,43.613,1.488,10.82,R
31100010,31100,TOULOUSE,222 ROUTE DE SAINT SIMON,43.58,1.395,11.05,R
31100009,31100,TOULOUSE,222 Route de Saint-Simon,43.58015,1.39451,11.09,R
31860003,31860,LABARTHE-SUR-LèZE,Route du Planthaurel,43.45314,1.39333,11.09,R
31100007,31100,TOULOUSE,222 route de st simon,43.58028,1.39324,11.18,R
31300002,31300,Toulouse,104 Avenue de Grande-Bretagne,43.59914,1.41729,11.39,R
31300007,31300,TOULOUSE,104 AV GDE BRETAGNE,43.59914,1.41729,11.39,R
31300006,31300,TOULOUSE,5 AVENUE DU GOUPE MORHANGE,43.589,1.4,11.43,A
31300003,31300,TOULOUSE,5 av Groupe Morhange,43.5893,1.40011,11.45,R
31860005,31860,Labarthe-sur-Lèze,2111 route du Plantaurel,43.45,1.39,11.52,R
