id,ville,cp,adresse,dist_km,lat,lon,Gazole,SP95,SP98,E10,E85,GPLc,maj
31320001,CASTANET-TOLOSAN,31320,Route de Labège,1.11,43.521,1.512,2.429,,2.269,2.139,,,2026-09-18 08:50:02
31450006,Pompertuzat,31450,Avenue de Lauragais - Lieu dit Condamine,2.57,43.497,1.518,2.399,,2.319,2.169,0.839,,2026-09-15 09:37:59
31520003,RAMONVILLE-SAINT-AGNE,31520,1 Rue Louis Braille,2.8,43.53573,1.4783,2.429,,2.269,2.139,0.859,1.029,2026-09-18 08:56:00
31520005,RAMONVILLE SAINT AGNE,31520,98 AVENUE TOLOSANE,3.17,43.54027,1.47921,,,,,0.873,,2026-09-20 00:01:00
31670001,LABEGE,31670,CENTRE COMMERCIAL DE L'AUTAN,3.27,43.531,1.535,,,,,,,
31673001,LABèGE,31670,Centre Commercial LABEGE 2,3.89,43.551,1.504,2.463,2.256,2.297,2.181,0.903,,2026-09-18 00:43:00
31520007,Ramonville-Saint-Agne,31520,53 Av. Tolosane,4.17,43.54777,1.47239,2.419,,2.319,2.219,0.985,,2026-09-18 23:50:00
31450004,BELBERAUD,31450,ZA DE LA BALME,4.63,43.50653,1.55587,2.388,,2.258,2.138,0.838,1.028,2026-09-18 11:15:22
31650003,Saint-Orens-de-Gameville,31650,5 AV DE GAMEVILLE,5.09,43.556,1.531,,,,,0.863,,2026-09-20 00:01:00
31450008,DEYME,31450,AUTOROUTE A61AIRE DE TOULOUSE SUD NORD,5.34,43.483,1.548,2.431,,2.313,2.250,0.999,1.152,2026-09-18 14:00:00
31450009,DEYME,31450,AUTOROUTE A61AIRE DE TOULOUSE SUD SUD,5.35,43.48373,1.54906,2.439,,2.283,2.220,0.999,1.153,2026-09-18 14:00:00
31650002,SAINT-ORENS-DE-GAMEVILLE,31650,Allée des Champs Pinsons,5.65,43.565,1.519,2.439,2.256,2.269,2.181,,,2026-09-20 01:19:00
31400005,Toulouse,31400,105 Route de Narbonne,6.46,43.566,1.459,2.424,,2.287,2.207,0.975,,2026-09-18 07:31:00
31400002,TOULOUSE,31400,68 Route de Revel,6.6,43.575,1.49,2.489,,2.319,2.199,1.025,1.039,2026-09-18 23:59:00
31400006,TOULOUSE,31400,90 Route de Revel,6.6,43.575,1.49,2.452,,2.312,2.205,,,2026-09-18 07:31:00
31120003,PORTET-SUR-GARONNE,31120,RTE DE LA CROIX FALGARDE,6.62,43.518,1.418,,,,,,,
31400008,Toulouse,31400,170 Avenue de Lespinet,6.79,43.57413,1.4736,2.469,,2.349,2.209,0.959,,2026-09-18 14:00:00
31400007,TOULOUSE,31400,58 Route de Narbonne,6.87,43.569,1.456,2.489,,2.319,2.199,1.025,,2026-09-18 23:59:00
31120005,Portet-sur-Garonne,31120,50 Route d'Espagne,7.4,43.543,1.416,2.463,,,2.222,,,2026-09-19 07:30:00
31400013,TOULOUSE,31400,56 AVENUE DE RANGUEIL,7.45,43.57506,1.45603,2.499,,2.319,2.199,1.025,,2026-09-19 20:58:24
31120010,PORTET SUR GARONNE,31120,43 ROUTE D ESPAGNE,8.14,43.52465,1.39971,,,,,0.849,,2026-09-20 00:01:00
31120009,Portet-sur-Garonne,31120,106 ROUTE D'ESPAGNE,8.2,43.525,1.399,2.250,,,,0.862,0.999,2026-09-20 00:01:00
31120001,PORTET-SUR-GARONNE,31120,Boulevard de l'Europe,8.26,43.53348,1.40042,2.390,2.188,2.237,2.123,0.887,0.997,2026-09-19 19:58:55
31500015,Toulouse,31500,228 AVENUE DE CASTRES,8.75,43.59438,1.48893,2.499,,2.319,2.199,1.025,,2026-09-19 21:00:07
31084001,TOULOUSE,31084,10 Boulevard de Thibaud,8.76,43.553,1.404,2.250,1.990,,,,,2026-09-18 18:57:30
31100011,TOULOUSE,31100,80 ROUTE D ESPAGNE,8.89,43.574,1.424,,,,,,,
31120007,PINSAGUEL,31120,99 Rue d'Andorre,8.89,43.504,1.391,2.439,,2.263,2.135,0.859,,2026-09-19 11:17:30
31400010,TOULOUSE,31400,36 ALLEE DES DEMOISELLES,8.98,43.59,1.455,,,,,0.899,,2026-09-20 00:01:00
31100004,TOULOUSE,31100,138 bis Route de Seysses,9.1,43.55924,1.40412,2.449,2.269,2.279,,0.899,,2026-09-19 18:37:25
31500013,Toulouse,31500,6 rue claudius Rougenet,9.18,43.598,1.486,2.459,,2.359,2.229,,,2026-09-17 12:07:36
31860001,LABARTHE-SUR-LèZE,31860,CHEZ MANON - 496 RN20,9.52,43.45555,1.41651,2.250,,1.990,1.990,,,2026-09-18 16:02:57
31450003,MONTGISCARD,31450,Route Départ. 813 Lieu dit en Rouzaut,9.73,43.454,1.585,2.439,,2.269,2.139,0.858,1.079,2026-09-19 08:30:00
31860006,PINS JUSTARET,31860,21 CHEMIN DE LA CROISETTE,10.03,43.48106,1.38543,2.439,2.334,,,,,2026-09-17 08:53:08
31500012,Toulouse,31500,144 Avenue Jean Chaubet,10.03,43.605,1.479,2.499,,2.399,2.299,1.035,,2026-09-19 08:52:32
31500008,TOULOUSE,31500,151 AVENUE JEAN CHAUBET,10.11,43.606,1.481,,,,,,,
31130007,FLOURENS,31130,Lieu dit MOUSSARD  Route de Castres,10.21,43.58834,1.57824,2.439,2.259,2.269,2.199,0.879,,2026-09-19 20:00:00
31130003,Balma,31130,23 Avenue des Aérostiers,10.37,43.609,1.489,2.453,,2.299,2.209,1.002,,2026-09-18 07:31:00
31130008,BALMA,31130,43 AVENUE DES AEROSTIERS,10.38,43.60917,1.49007,,,,,0.879,0.999,2026-09-20 00:01:00
31810003,VERNET,31810,AVENUE DE TOULOUSE,10.54,43.438,1.426,,,,,,,
31120006,Roques,31120,1 Allée de Fraïxinet,10.57,43.512,1.369,2.405,,2.239,2.149,0.854,,2026-09-20 01:19:00
31810002,VENERQUE,31810,Route de Narbonne Rd19,10.6,43.426,1.457,2.384,,2.249,2.165,0.848,1.079,2026-09-17 12:12:49
31000001,Toulouse,31100,328 Route de Saint-Simon,10.79,43.588,1.41,,,,,,,
31130004,Balma,31130,Chemin des Arènes,10.82,43.613,1.488,2.459,,2.359,2.229,0.859,,2026-09-18 17:22:08
31100010,TOULOUSE,31100,222 ROUTE DE SAINT SIMON,11.05,43.58,1.395,,,,1.990,,0.999,2026-09-20 00:01:00
31300007,TOULOUSE,31300,104 AV GDE BRETAGNE,11.39,43.59914,1.41729,,,,,,,
31860005,Labarthe-sur-Lèze,31860,2111 route du Plantaurel,11.52,43.45,1.39,2.449,,2.249,2.139,0.849,,2026-09-18 23:59:00
31500006,Toulouse,31500,AVENUE YVES BRUNAUD,11.73,43.619,1.468,2.299,,2.287,2.207,,,2026-09-17 07:31:00
31270004,CUGNAUX,31270,34 Rue de la Vimona,12.18,43.529,1.35,2.449,2.195,2.255,2.129,0.858,,2026-09-18 09:00:00
31270005,CUGNAUX,31270,Rue Henry Gladi,12.31,43.546,1.353,2.449,,2.255,2.129,0.858,,2026-09-18 16:24:53
31300008,TOULOUSE,31300,6 AVENUE DU GOUPE MORHANGE,12.46,43.601,1.399,2.250,,,1.990,0.874,1.039,2026-09-19 09:00:00
31000004,TOULOUSE,31000,65 ROUTE D AGDE,12.52,43.62771,1.47973,,,,,,,
31500007,Toulouse,31000,231 FAUBOURG BONNEFOY,12.66,43.626,1.459,2.379,,2.288,2.208,,,2026-09-17 07:31:00
31270007,Villeneuve-Tolosane,31270,8 AVENUE DE FRANCAZAL,12.69,43.524,1.343,,,,,,,
31100003,TOULOUSE,31100,30 Chemin de Ferro-Lébrès,12.78,43.584,1.372,2.434,,2.279,2.177,0.859,,2026-09-19 08:17:13
31200022,TOULOUSE,31200,55 BOULEVARD DE SUISSE,12.8,43.616,1.421,,,,,,,
31075001,TOULOUSE,31075,92 Chemin de Gabardie,12.96,43.632,1.483,2.459,,2.359,2.229,,1.037,2026-09-18 09:34:38
31200020,TOULOUSE,31200,103 BOULEVARD DE SUISSE,13.02,43.619,1.423,2.250,,,,0.869,,2026-09-20 00:01:00
31600007,MURET,31600,RN 117 - LIEU DIT GUERIN,13.24,43.48845,1.34028,,,,,,,
31076001,TOULOUSE,31076,36 route de bayonne,13.25,43.609,1.397,2.435,2.233,2.286,2.179,0.858,1.009,2026-09-19 00:41:00
31570002,Lanta,31570,8 route de Caraman,13.45,43.561,1.655,2.465,2.299,,2.249,,,2026-09-14 14:54:31
