id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
94250001,Gentilly,67 Avenue Raspail,0.27,Esso Express,recognised,node/2365371845,brand=Esso Express | operator=esso,41,
94110003,Arcueil,23 Avenue Paul Doumer,0.89,Esso,recognised,way/61326388,brand=Esso | operator=BP | name=Esso,97,
92120004,MONTROUGE,70-74 AV ARISTIDE BRIAND,0.92,,unmatched,,,,
75013022,Paris,27 AVENUE DE LA PORTE D'ITALIE,1.21,TotalEnergies,recognised,node/1172665573,brand=Total | operator=Total | name=Relais Total Porte D'Italie,39,
92120002,MONTROUGE,91 Avenue Aristide Briand,1.36,Avia,recognised,node/25214143,brand=Avia | name=SARL Jaby Avia,28,
94110004,Arcueil,20 Avenue Paul Vaillant-Couturier,1.41,Esso,recognised,node/339346042,brand=Esso | operator=Esso | name=Esso,27,
75013026,Paris,231 Rue de Tolbiac,1.41,Esso,recognised,node/5140375294,brand=Esso | name=Esso,15,
94270005,LE KREMLIN-BICêTRE,Avenue de Fontainebleau,1.47,E.Leclerc,recognised,node/6153120886,brand=E.Leclerc | name=E. Leclerc,0,
94110005,ARCUEIL,89 AV A. BRIAND,1.76,TotalEnergies,recognised,way/62273350,brand=TotalEnergies | name=TotalEnergies,29,
75014010,Paris,RUE LEGION ETRANGERE,2.21,,unmatched,,,,
75013025,PARIS,"181, BOULEVARD VINCENT AURIOL",2.34,Total Access,recognised,way/221071441,brand=Total Access | name=Total Access,54,
94200008,Ivry-sur-Seine,168-180 BLD DE STALINGRAD,2.46,TotalEnergies,recognised,node/25210516,brand=Total | operator=Total | name=Total,17,
92242003,MALAKOFF,12 Avenue Pierre Brossolette,2.52,TotalEnergies,recognised,way/83791472,brand=Total | operator=Total | name=Total,43,
75013028,PARIS,85 RUE JEANNE DARC,2.57,BP,recognised,node/625171506,brand=BP | operator=BP | name=BP,54,
75013024,PARIS,114 BD DE L HOPITAL,2.61,TotalEnergies,recognised,way/78536213,brand=Total | name=Total,32,
94800007,VILLEJUIF,117 BLD MAXIME GORKI,2.93,Total Access,recognised,node/330170596,brand=Total Access | name=TotalEnergies Access,71,
75014012,Paris,154 Rue d'Alésia,2.94,TotalEnergies,recognised,node/66492656,brand=Total | name=Total,48,
92240010,Malakoff,76 avenue Pierre LAROUSSE,2.98,BP,recognised,node/1319463008,brand=BP | name=BP,50,
75013023,PARIS 13,RUE JEAN-BAPTISTE BERLIER - QUAI,3.24,TotalEnergies,recognised,node/667281517,brand=TotalEnergies | name=TotalEnergies,218,
94200009,IVRY SUR SEINE,79 AV. GEORGES GOSNAT,3.27,BP,recognised,node/1678955958,brand=BP | name=BP,37,
94800008,VILLEJUIF,60 AV DE STALINGRAD,3.56,Total Access,recognised,way/166707503,brand=Total Access | operator=Total | name=TotalEnergies Access,56,
92240001,MALAKOFF,22 Boulevard Gabriel Péri,3.61,Avia,recognised,node/2409683708,brand=Avia | operator=Avia | name=Avia,12,
92340002,Bourg-la-Reine,18 BD MARECHAL JOFFRE,3.64,TotalEnergies,recognised,node/915917928,brand=TotalEnergies | operator=TotalEnergies | name=TotalEnergies relais du Panorama,42,
92170002,VANVES,59 RUE JEAN BLEUZEN,3.77,TotalEnergies,recognised,node/605504117,brand=Total | name=Total,28,
75012010,Paris,36 Quai de la Rapée,3.82,Esso Express,recognised,way/78158556,brand=Esso Express | name=Esso Express,60,
94204001,IVRY-SUR-SEINE,10 Rue Westermeyer,3.83,Carrefour,recognised,way/79147677,brand=Carrefour | name=Station Service Carrefour Quais d'Ivry,88,
92220009,Bagneux,12 Avenue du Général de Gaulle,3.85,Esso,recognised,way/146252462,brand=Esso | name=Esso,67,
94400005,Vitry-sur-Seine,34 AV. HENRI BARBUSSE,4.03,TotalEnergies,recognised,node/2137682823,brand=TotalEnergies | operator=Total | name=Relais de Vitry,38,
94240004,L'Hay-les-Roses,110 Boulevard Paul Vaillant-Couturier,4.05,Esso,recognised,node/1908612038,brand=Esso | name=Esso,31,
92220010,BAGNEUX,98T AV DE BOURG LA REINE,4.27,Esso,recognised,way/146245692,brand=Esso | name=Esso,59,
75012020,Paris,238 RUE DE CHARENTON,4.35,TotalEnergies,recognised,node/4647664891,brand=Total | name=Relais de Bercy,29,
94220004,Charenton-le-Pont,4 BIS AV DE LA LIBERTE,4.39,TotalEnergies,recognised,node/2117639904,brand=Total | name=Relais Total de Conflans,31,
