id,fuel,debut
34130006,E10,2021-05-25
34130006,Gazole,2021-05-17
69200010,E10,2016-06-03
69200010,Gazole,2016-06-03
69200010,SP98,2016-06-03
75001003,E10,2012-02-07
75001003,E85,2018-10-05
75001003,GPLc,2018-10-05
75004001,E10,2022-03-22
75004001,E85,2022-03-22
75004001,GPLc,2022-03-22
75004001,SP95,2022-03-22
75004001,SP98,2022-03-22
75005001,E10,2016-05-09
75005001,Gazole,2016-05-09
75005001,SP95,2009-10-08
75005001,SP98,2016-05-09
75007001,E85,2012-09-07
75007001,GPLc,2012-09-07
75007001,SP95,2009-04-03
75007003,E10,2022-10-21
75007003,E85,2022-10-21
75007003,GPLc,2022-10-21
75007003,SP95,2023-04-06
75007004,E85,2018-06-13
75007004,GPLc,2018-06-13
75007004,SP95,2018-06-13
75008002,SP95,2010-11-12
75008004,SP95,2009-11-26
75008006,E85,2017-08-31
75008006,GPLc,2017-08-31
75008006,SP95,2025-01-07
75008008,E85,2012-01-01
75008008,GPLc,2010-02-01
75008008,SP95,2012-01-01
75008009,E10,2026-05-26
75008009,E85,2017-09-27
75008009,GPLc,2017-09-27
75008009,Gazole,2026-05-27
75008009,SP95,2017-09-27
75008009,SP98,2026-05-26
75008010,E10,2026-07-27
75008010,E85,2022-05-06
75008010,GPLc,2022-05-06
75008010,Gazole,2026-07-28
75008010,SP95,2022-05-06
75008010,SP98,2026-07-24
75010002,E10,2021-10-29
75010002,E85,2017-10-13
75010002,GPLc,2017-10-13
75010003,SP95,2011-02-22
75010007,E10,2019-03-05
75010007,E85,2019-03-05
75010007,GPLc,2019-03-05
75010007,Gazole,2019-12-16
75010007,SP95,2019-12-16
75010007,SP98,2019-03-05
75012002,SP95,2012-11-26
75012004,E85,2009-09-03
75012004,GPLc,2009-09-03
75012005,E85,2023-03-16
75012005,GPLc,2023-03-16
75012005,SP95,2023-03-16
75012007,E85,2018-05-19
75012007,GPLc,2018-05-19
75012007,SP95,2018-05-19
75012008,SP98,2016-07-20
75012010,E85,2023-06-28
75012010,GPLc,2023-06-28
75012010,SP95,2009-07-02
75012011,SP95,2010-05-06
75012017,E85,2013-12-13
75012017,GPLc,2013-12-13
75012017,SP95,2011-12-29
75012018,E85,2013-10-25
75012018,GPLc,2013-10-25
75012018,SP95,2013-10-25
75012020,E85,2026-04-07
75012020,GPLc,2026-04-07
75012020,SP95,2026-04-30
75012021,E85,2026-05-01
75012021,GPLc,2026-05-01
75012021,SP95,2026-04-08
75012022,SP98,2016-07-20
75012023,E85,2017-08-31
75012023,GPLc,2017-08-31
75012023,SP95,2017-08-31
75012024,SP98,2016-11-03
75012025,SP98,2016-12-05
75012026,SP98,2017-09-05
75013001,SP95,2011-11-23
75013005,E10,2013-09-28
75013005,E85,2013-09-26
75013005,GPLc,2013-09-25
75013005,Gazole,2013-09-28
75013005,SP95,2010-02-18
75013005,SP98,2013-09-28
75013006,E85,2009-10-14
75013006,GPLc,2009-10-14
75013006,SP95,2010-02-19
75013007,E85,2010-11-13
75013007,GPLc,2010-11-13
75013007,SP95,2009-05-20
75013008,SP95,2009-05-21
75013009,E10,2011-08-17
75013009,E85,2011-08-17
75013009,GPLc,2011-08-17
75013009,Gazole,2011-08-17
75013009,SP95,2009-10-28
75013011,SP95,2009-11-25
75013012,SP95,2009-04-17
75013013,SP95,2012-04-11
75013015,SP95,2009-04-17
75013019,SP95,2011-01-23
75013019,SP98,2016-07-20
75013020,GPLc,2014-07-29
75013021,SP95,2014-06-03
75013022,GPLc,2026-08-24
75013022,SP95,2023-07-16
75013022,SP98,2026-09-18
75013023,E85,2022-10-10
75013023,GPLc,2022-10-10
75013023,SP95,2022-10-10
75013024,GPLc,2020-03-04
75013024,SP95,2025-10-28
75013025,E85,2023-01-30
75013025,SP95,2023-01-30
75013026,E85,2018-12-22
75013026,GPLc,2018-12-22
75013026,SP95,2023-02-16
75013027,SP98,2017-03-23
75014003,GPLc,2011-10-11
75014003,SP95,2011-10-13
75014005,SP98,2016-07-20
75014007,Gazole,2016-08-22
75014007,SP98,2013-07-09
75014008,E10,2025-05-14
75014008,E85,2019-01-03
75014008,GPLc,2019-01-03
75014009,GPLc,1970-01-01
