id,ville,cp,adresse,dist_km,lat,lon,Gazole,SP95,SP98,E10,E85,GPLc,maj
94250001,Gentilly,94250,67 Avenue Raspail,0.27,48.814,2.348,2.468,,2.318,2.238,,,2026-09-18 07:40:00
94110003,Arcueil,94110,23 Avenue Paul Doumer,0.89,48.807,2.337,2.609,,2.549,2.369,,,2026-09-17 12:21:54
92120004,MONTROUGE,92120,70-74 AV ARISTIDE BRIAND,0.92,48.813,2.357,2.569,,2.639,2.469,1.209,,2026-09-17 12:21:34
75013022,Paris,75013,27 AVENUE DE LA PORTE D'ITALIE,1.21,48.817,2.36,2.250,,,,0.899,,2026-09-20 00:01:00
92120002,MONTROUGE,92120,91 Avenue Aristide Briand,1.36,48.81468,2.32592,2.549,,2.499,2.429,0.899,1.099,2026-09-19 07:00:00
94110004,Arcueil,94110,20 Avenue Paul Vaillant-Couturier,1.41,48.801,2.34,2.425,,2.294,2.214,0.976,,2026-09-18 07:31:00
75013026,Paris,75013,231 Rue de Tolbiac,1.41,48.826,2.344,2.499,,2.499,2.359,,,2026-09-18 09:39:01
94270005,LE KREMLIN-BICêTRE,94270,Avenue de Fontainebleau,1.47,48.80771,2.36264,2.459,,2.299,2.229,,,2026-09-18 00:00:00
94110005,ARCUEIL,94110,89 AV A. BRIAND,1.76,48.804,2.325,2.250,,,,,,2026-09-20 00:01:00
75014010,Paris,75014,RUE LEGION ETRANGERE,2.21,48.829,2.326,,,1.990,1.990,0.899,,2026-09-20 00:01:00
75013025,PARIS,75013,"181, BOULEVARD VINCENT AURIOL",2.34,48.832,2.359,2.250,,,,,0.959,2026-09-20 00:01:00
94200008,Ivry-sur-Seine,94200,168-180 BLD DE STALINGRAD,2.46,48.80595,2.37609,2.250,,1.990,1.990,0.919,,2026-09-20 00:01:00
92242003,MALAKOFF,92242,12 Avenue Pierre Brossolette,2.52,48.821,2.312,2.250,,,1.990,0.909,,2026-09-20 00:01:00
75013028,PARIS,75013,85 RUE JEANNE DARC,2.57,48.832,2.365,2.569,,2.409,2.329,,,2026-09-18 14:35:03
75013024,PARIS,75013,114 BD DE L HOPITAL,2.61,48.835,2.358,2.250,,,,0.919,,2026-09-20 00:01:00
94800007,VILLEJUIF,94800,117 BLD MAXIME GORKI,2.93,48.793,2.37,2.250,,,,0.914,,2026-09-20 00:01:00
75014012,Paris,75014,154 Rue d'Alésia,2.94,48.832,2.316,2.250,,,1.990,,,2026-09-19 07:42:59
92240010,Malakoff,92240,76 avenue Pierre LAROUSSE,2.98,48.82,2.305,2.599,,2.499,2.329,1.219,,2026-09-18 14:34:37
75013023,PARIS 13,75013,RUE JEAN-BAPTISTE BERLIER - QUAI,3.24,48.82586,2.38433,2.250,,1.990,1.990,,,2026-09-20 06:00:00
94200009,IVRY SUR SEINE,94200,79 AV. GEORGES GOSNAT,3.27,48.813,2.389,2.599,,2.549,2.379,,,2026-09-17 12:20:09
94800008,VILLEJUIF,94800,60 AV DE STALINGRAD,3.56,48.785,2.367,2.250,,,1.990,0.914,,2026-09-20 00:01:00
92240001,MALAKOFF,92240,22 Boulevard Gabriel Péri,3.61,48.81915,2.29591,2.559,,2.419,2.319,,,2026-09-19 07:00:00
92340002,Bourg-la-Reine,92340,18 BD MARECHAL JOFFRE,3.64,48.786,2.317,2.250,,,,,,2026-09-20 00:01:00
92170002,VANVES,92170,59 RUE JEAN BLEUZEN,3.77,48.82274,2.29497,2.250,,1.990,1.990,0.915,,2026-09-20 00:01:00
75012010,Paris,75012,36 Quai de la Rapée,3.82,48.842,2.373,2.437,,2.325,2.183,,,2026-09-18 07:31:00
94204001,IVRY-SUR-SEINE,94200,10 Rue Westermeyer,3.83,48.819,2.396,2.423,2.173,2.233,2.131,,,2026-09-19 11:48:49
92220009,Bagneux,92220,12 Avenue du Général de Gaulle,3.85,48.797,2.298,2.579,,2.509,2.339,,,2026-09-18 14:38:53
94400005,Vitry-sur-Seine,94400,34 AV. HENRI BARBUSSE,4.03,48.793,2.39,2.250,,1.990,1.990,0.914,,2026-09-20 00:01:00
94240004,L'Hay-les-Roses,94240,110 Boulevard Paul Vaillant-Couturier,4.05,48.777,2.34,2.549,,2.469,2.299,,,2026-09-17 12:22:54
92220010,BAGNEUX,92220,98T AV DE BOURG LA REINE,4.27,48.785,2.305,2.569,,2.519,2.319,1.229,,2026-09-18 14:34:33
75012020,Paris,75012,238 RUE DE CHARENTON,4.35,48.83905,2.38906,2.250,,1.990,1.990,,,2026-09-20 06:00:00
94220004,Charenton-le-Pont,94220,4 BIS AV DE LA LIBERTE,4.39,48.82225,2.40285,2.250,,,,,,2026-09-20 00:01:00
