id,ville,adresse,dist_km,brand,source,osm,osm_tags,match_m,shared
69003013,LYON,258 rue Garibaldi,1.7,Avia,recognised,way/361557395,brand=Avia | operator=Avia | name=Avia,1,
69004002,Lyon,22 Rue Philippe de Lassalle,1.76,Esso Express,recognised,node/1953590652,brand=Esso Express | name=Esso Express,45,
69004016,LYON,97 RUE DENFERT ROCHEREAU,1.77,Eni,recognised,node/2687558383,brand=Eni | operator=Agip | name=Eni,31,
69100029,VILLEURBANNE,87-89 BD STALINGRAD,2.44,Esso,recognised,node/5092868372,brand=Esso | name=Esso,34,
69100031,VILLEURBANNE,47 COURS EMILE ZOLA,2.55,Esso,recognised,node/1348027494,brand=Esso | name=Esso,28,
69009008,LYON,100 AVENUE BARTHELEMY BUYER,2.55,Total Access,recognised,node/3135247243,brand=Total Access | name=Total Access,40,
69004020,LYON,55 BIS QUAI GILLET,2.64,Eni,recognised,node/3135242210,brand=Eni | name=Eni,53,
69300010,CALUIRE-ET-CUIRE,34 Rue Pasteur,2.69,TotalEnergies,recognised,node/1896604910,brand=Total | name=Total,27,
69003012,Lyon,65 COURS ALBERT THOMAS,3.08,Avia,recognised,node/249331849,brand=Avia | operator=Avia | name=Avia,28,
69007012,LYON 7,44 AVENUE LECLERC,3.14,Avia,recognised,node/408053118,brand=Avia | name=Avia,21,
69100030,VILLEURBANNE,72 COURS TOLSTOI,3.21,Esso,recognised,way/84590940,brand=Esso | operator=Esso | name=Esso,21,
69100028,VILLEURBANNE,110 BD DU 11 NOVEMBRE 1918,3.21,Esso,recognised,way/85022941,brand=Esso | name=ESSO,42,
69007006,LYON,112/116 RUE DE GERLAND,3.22,TotalEnergies,recognised,node/944083020,brand=TotalEnergies | name=TotalEnergies Raclet,36,
69110006,SAINTE FOY LES LYON,BOULEVARD DES PROVINCES,3.23,TotalEnergies,recognised,node/12385439971,brand=TotalEnergies | name=TotalEnergies,58,
69009003,Lyon,69 AVENUE DU 25EME RTS,3.29,Esso,recognised,way/125075631,brand=Esso | operator=Esso Express | name=Esso,66,
69009007,LYON,111 RUE MARIETTON,3.44,TotalEnergies,recognised,node/3303361961,brand=TotalEnergies | name=Total,40,
69002006,LYON,84 QUAI PERRACHE,3.5,Esso,recognised,way/806804022,brand=Esso | name=Esso,42,
69110004,SAINTE-FOY-LèS-LYON,Rue Commandant Charcot,3.64,,unmatched,,,,
69370002,Saint-Didier-au-Mont-d'Or,107 ROUTE DE ST CYR,3.69,TotalEnergies,recognised,node/1566655390,brand=Total | name=Relais Saint-Didier,28,
69100001,VILLEURBANNE,"145, Rue Anatole France",3.79,Carrefour,recognised,node/729766205,brand=Carrefour | operator=Carrefour | name=Carrefour,62,
69300011,Caluire-et-Cuire,Place Maréchal Foch - Montée des soldats,3.88,TotalEnergies,recognised,way/50825861,brand=TotalEnergies | operator=SARL MD Rhône | name=Relais des Soldats,33,
69110005,Sainte-Foy-lès-Lyon,28 AVENUE MAURICE JARROSSON,3.93,Intermarché,recognised,node/1908196728,brand=Intermarché,1,
69008007,LYON,131 RUE MARIUS BERLIET,3.96,Total Access,recognised,node/34991534,brand=Total Access | name=Total Access,199,
69160005,TASSIN LA DEMI LUNE,49 AVENUE VICTOR HUGO,4.02,Avia,recognised,node/1459055367,brand=Avia | name=Avia,23,
