id,fuel,debut
1390004,E85,2010-10-19
1390004,SP95,2009-12-10
1390008,SP95,2017-02-08
1390009,GPLc,2019-09-03
1390011,E85,2019-09-02
1390011,GPLc,2019-09-02
1390011,Gazole,2022-11-14
1390011,SP95,2019-09-02
1700003,SP95,2010-09-22
1700005,GPLc,2025-07-06
69002001,SP95,2010-01-18
69002005,SP98,2016-07-20
69003005,SP95,2011-05-30
69003009,E85,2017-09-25
69003009,SP98,2018-10-04
69003010,E85,2017-09-25
69003010,GPLc,2017-01-27
69003010,SP98,2014-03-24
69003011,E10,2015-06-29
69003011,SP95,2011-05-30
69003011,SP98,2015-06-29
69003012,E85,2019-10-28
69003012,GPLc,2019-10-28
69003012,SP98,2019-11-19
69003013,E85,2020-12-21
69003013,SP98,2020-12-21
69004002,SP95,2010-10-06
69004008,E85,2017-12-28
69004008,GPLc,2017-12-27
69004008,SP95,2017-12-04
69004009,SP95,2010-05-18
69004010,SP95,2011-01-23
69004010,SP98,2016-07-20
69004011,E85,2010-10-26
69004011,GPLc,2010-10-26
69004011,SP95,2010-10-07
69004016,E85,2022-10-21
69004016,GPLc,2022-10-21
69004016,SP95,2022-10-21
69004018,E85,2021-04-08
69004018,GPLc,2021-04-08
69004018,SP95,2021-04-08
69004019,E85,2022-10-21
69004019,GPLc,2022-10-21
69004019,SP95,2022-10-21
69004019,SP98,2023-02-07
69004020,GPLc,2024-12-05
69004020,SP95,2024-12-05
69005001,E10,2015-01-01
69005001,E85,2017-09-25
69005001,GPLc,2014-07-17
69005002,E85,2015-12-10
69005002,GPLc,2015-12-10
69005002,SP95,2010-07-15
69005003,SP98,2016-07-20
69005005,E10,2021-01-10
69005005,GPLc,2021-01-10
69007001,E85,2009-08-28
69007001,GPLc,2011-01-01
69007001,SP95,2014-01-22
69007001,SP98,2012-12-19
69007002,E10,2016-05-19
69007002,E85,2016-05-19
69007003,E85,2011-08-01
69007003,GPLc,2011-08-01
69007003,SP95,2011-05-31
69007004,E85,2014-03-12
69007004,SP95,2011-05-30
69007005,E85,2011-08-04
69007005,GPLc,2003-12-01
69007005,SP95,2011-06-13
69007006,GPLc,2018-11-27
69007006,SP95,2018-11-27
69007007,E10,2023-03-24
69007007,E85,2023-03-24
69007007,GPLc,2023-03-24
69007007,Gazole,2023-03-24
69007007,SP95,2023-03-24
69007007,SP98,2023-03-24
69007008,SP95,2021-12-29
69007009,SP98,2026-09-17
69007010,SP95,2015-10-15
69007012,E10,2020-12-18
69007012,E85,2020-12-18
69008002,Gazole,2010-09-14
69008002,SP95,2010-09-14
69008004,Gazole,2011-01-04
69008004,SP95,2011-01-04
69008005,E85,2013-09-16
69008005,SP95,2012-02-22
69008006,E85,2014-05-02
69008006,GPLc,2014-05-03
69008006,SP95,2011-06-08
69008007,GPLc,2018-12-05
69008007,SP95,2018-12-05
69008007,SP98,2026-09-17
69008008,E85,2018-11-25
69008008,GPLc,2018-11-25
69008008,SP95,2018-11-25
69008009,E85,2025-09-04
69008009,GPLc,2025-09-04
69008009,SP95,2025-09-04
69009001,E85,2010-05-24
69009001,GPLc,2011-06-22
69009001,SP95,2011-06-01
69009003,SP95,2010-09-22
69009005,E85,2013-01-01
69009005,GPLc,2013-01-01
69009005,SP95,2011-05-31
69009006,SP98,2016-07-20
69009007,E85,2023-03-11
69009007,GPLc,2023-03-11
69009007,SP95,2018-06-15
69009008,GPLc,2021-07-07
69009008,SP95,2022-09-16
69009008,SP98,2026-09-15
69100001,E85,2017-09-07
69100001,GPLc,2017-09-07
69100002,E85,2011-07-01
69100002,GPLc,2011-07-01
69100002,SP95,2011-07-01
69100012,SP95,2009-04-23
69100013,SP98,2016-07-20
69100015,SP98,2016-07-20
69100016,E85,2014-01-10
69100016,GPLc,2014-01-10
69100016,SP98,2014-01-10
69100017,SP95,2009-04-22
69100018,SP95,2011-01-23
69100018,SP98,2016-07-20
69100019,SP95,2011-01-23
69100022,E10,2026-08-29
69100022,E85,2023-02-10
69100022,GPLc,2023-02-10
69100022,Gazole,2026-08-30
69100022,SP95,2023-02-10
69100022,SP98,2026-08-27
69100023,SP98,2016-07-20
69100024,SP95,2018-02-02
69100026,SP98,2016-12-05
69100027,SP98,2016-12-06
69100032,E85,2022-10-14
69100032,GPLc,2022-10-14
69100032,SP95,2022-10-14
69110001,E85,2022-11-24
69110001,GPLc,2022-11-24
69110001,SP95,2022-11-25
69110001,SP98,2022-07-28
69110003,E10,2024-05-31
69110003,E85,2018-11-29
69110003,GPLc,2018-11-29
69110003,Gazole,2024-05-31
69110003,SP95,2017-12-02
69110003,SP98,2024-05-31
69110004,E85,2020-02-27
69110004,SP95,2017-09-13
69110006,Gazole,2026-09-17
69110006,SP95,2026-09-17
69120001,E10,2021-12-06
69120001,E85,2018-03-05
69120001,GPLc,2018-03-05
69120001,Gazole,2021-12-06
69120001,SP95,2018-03-05
69120001,SP98,2021-12-06
69120004,E85,2010-02-23
69120004,GPLc,2010-02-23
69120004,SP95,2010-02-23
69120010,E85,2022-10-14
69120010,GPLc,2022-10-14
69120010,SP95,2022-10-14
69120011,GPLc,2022-03-09
69120011,SP95,2022-03-09
69120011,SP98,2026-09-17
69120012,E85,2023-09-22
69120012,GPLc,2023-09-22
69120012,SP95,2023-12-01
69126001,E85,2017-09-04
69126001,GPLc,2017-09-04
69130003,SP95,2010-09-15
69130004,E10,2022-05-10
69130004,E85,2022-05-10
69130004,GPLc,2022-05-10
69130004,SP98,2017-09-11
69130005,E10,2022-08-31
69130005,E85,2022-08-31
69130005,GPLc,2022-08-31
69130005,SP95,2026-09-17
69130005,SP98,2022-08-31
69140004,E85,2016-05-30
69140004,GPLc,2016-05-30
69140004,SP95,2013-07-18
69140005,E85,2019-09-18
69140005,GPLc,2019-09-18
69140005,SP95,2024-03-11
69140006,GPLc,2017-09-05
69140006,SP95,2022-09-15
69140006,SP98,2017-09-05
69140007,E10,2023-02-10
69140007,E85,2022-09-29
69140007,GPLc,2022-09-29
69140007,SP95,2022-09-29
69140007,SP98,2023-02-01
69150001,SP95,2010-09-22
69150003,SP95,2011-01-21
69150003,SP98,2013-07-09
69150004,E10,2026-09-17
69150004,SP95,2017-09-07
69150004,SP98,2026-09-17
69160001,GPLc,2017-09-02
69160001,SP95,2022-11-28
69160002,E10,2018-10-24
69160002,E85,2017-09-27
69160002,GPLc,2017-09-27
69160003,SP95,2010-10-08
69160005,E10,2021-01-10
69160005,GPLc,2021-01-10
69190001,E85,2017-08-31
69190001,GPLc,2017-08-31
69190001,SP95,2021-08-25
69190004,SP95,2009-04-23
69190005,SP95,2011-01-23
69190007,SP98,2016-07-20
69190009,GPLc,2022-10-25
69190009,SP95,2022-10-30
69190012,E85,2026-06-03
69190012,GPLc,2026-06-03
69190012,SP95,2026-06-03
69200001,E85,2022-10-28
69200002,SP95,2012-02-26
69200003,GPLc,2024-09-12
69200003,SP95,2024-03-05
69200005,SP95,2010-09-22
69200007,E85,2025-07-07
69200007,GPLc,2025-05-13
69200007,SP95,2025-07-07
69200008,GPLc,2014-09-03
69200008,SP95,2019-09-28
69200008,SP98,2019-09-28
69200009,E85,2024-02-12
69200009,GPLc,2024-02-12
69200009,SP95,2024-02-12
69210002,E85,2017-09-01
69210002,GPLc,2017-09-01
69210006,E85,2010-10-21
69210009,E10,2019-01-03
69210009,E85,2022-10-10
69210009,GPLc,2019-01-03
69210009,SP98,2019-01-03
69230001,E85,2019-09-05
69230003,SP95,2009-04-24
69230004,SP95,2011-01-23
69230004,SP98,2016-07-20
69250008,E85,2017-12-17
69250008,GPLc,2017-12-17
69250008,SP95,2017-12-17
69250009,E10,2026-03-12
69250009,E85,2026-03-12
69250009,GPLc,2026-03-12
69250009,SP98,2026-03-12
69260004,SP95,2009-12-04
69260008,SP95,2017-06-01
69260010,SP95,2017-12-26
69270001,E85,2011-08-01
69270001,GPLc,2011-08-01
69270001,SP95,2011-07-19
69270002,E85,2017-08-31
69270002,GPLc,2017-08-31
69270003,E85,2014-11-12
69270003,GPLc,2014-11-12
69270003,SP95,2014-11-12
69270004,GPLc,2022-09-26
69270004,SP95,2022-09-26
69290001,SP95,2010-10-05
69290002,E85,2017-12-08
69290002,GPLc,2017-12-08
69290003,E85,2020-02-05
69290003,GPLc,2020-02-05
69290003,SP95,2021-10-05
69300001,SP95,2024-07-15
69300003,E85,2010-10-21
69300008,SP98,2013-07-09
69300010,E10,2026-09-14
69300010,E85,2018-12-05
69300010,GPLc,2018-12-05
69300010,SP95,2018-12-05
69300010,SP98,2026-09-14
69300011,E85,2021-10-04
69300011,GPLc,2022-12-07
69300011,SP95,2026-07-01
69300011,SP98,2026-09-12
69300012,SP98,2016-07-21
69310002,SP95,2011-05-30
69310003,SP95,2010-10-05
69310004,SP95,2021-12-29
69320002,E85,2012-07-03
69320002,SP95,2012-03-01
69320004,E85,2012-07-03
69320004,GPLc,2012-11-21
69320004,SP95,2012-07-03
69320005,E85,2012-07-03
69320005,SP95,2012-07-03
69320006,E85,2021-07-26
69320006,GPLc,2021-07-26
69320006,SP95,2021-07-26
69320007,E85,2021-07-26
69320007,GPLc,2022-12-12
69320007,SP95,2021-07-26
69320008,GPLc,2024-08-23
69320008,SP95,2024-08-23
