id,cp,ville,adresse,lat,lon,dist_km,pop
69003013,69003,LYON,258 rue Garibaldi,45.75446,4.85284,1.7,R
69003009,69003,LYON,258 Rue Garibaldi,45.75404,4.85292,1.74,R
69004009,69004,LYON,97 Rue Denfert-Rochereau,45.77876,4.8283,1.74,R
69004011,69004,LYON,97 Rue Denfert-Rochereau,45.77877,4.82833,1.74,R
69004002,69004,Lyon,22 Rue Philippe de Lassalle,45.776,4.821,1.76,R
69004016,69004,LYON,97 RUE DENFERT ROCHEREAU,45.779,4.828,1.77,R
69004010,69004,Lyon,71 Boulevard des Canuts,45.78111,4.82769,2.0,R
69004015,69004,LYON,71 BOULEVARD DES CANUTS,45.781,4.827,2.01,R
69007003,69007,LYON,344 Rue Garibaldi,45.74714,4.85069,2.21,R
69007007,69007,LYON,344 RUE GARIBALDI,45.74714,4.85069,2.21,R
69100013,69100,Villeurbanne,Boulevard de la Bataille de Stalingrad,45.778,4.85926,2.4,R
69100029,69100,VILLEURBANNE,87-89 BD STALINGRAD,45.778,4.86,2.44,R
69009006,69009,LYON,40 Rue Sergent Michel Berthet,45.7705,4.80553,2.45,R
69100017,69100,VILLEURBANNE,47 Cours Émile Zola,45.77078,4.86625,2.49,R
69009008,69009,LYON,100 AVENUE BARTHELEMY BUYER,45.762,4.803,2.55,R
69100031,69100,VILLEURBANNE,47 COURS EMILE ZOLA,45.771,4.867,2.55,R
69009005,69009,LYON,Avenue Barthélemy Buyer,45.76215,4.80275,2.56,R
69004019,69004,LYON,55 BIS QUAI GILLET,45.78053,4.81217,2.59,R
69004008,69004,Lyon,55 BIS QUAI GILLET,45.781,4.812,2.64,R
69004018,69004,Lyon,55 BIS QUAI GILLET,45.781,4.812,2.64,R
69004020,69004,LYON,55 BIS QUAI GILLET,45.781,4.812,2.64,R
69005003,69005,LYON,32 Avenue du Point du Jour,45.75635,4.80324,2.66,R
69300010,69300,CALUIRE-ET-CUIRE,34 Rue Pasteur,45.788,4.84,2.69,R
69300003,69300,CALUIRE-ET-CUIRE,34 Rue Pasteur,45.78814,4.83949,2.7,R
69007002,69007,LYON,44 Avenue Leclerc,45.73794,4.82472,3.02,R
69003005,69003,LYON,59/61 Cours Albert Thomas,45.74722,4.86659,3.04,R
69003011,69003,LYON,59/61 COURS ALBERT THOMAS,45.74722,4.86659,3.04,R
69003010,69003,LYON,65 Cours Albert Thomas,45.747,4.867,3.08,R
69003012,69003,Lyon,65 COURS ALBERT THOMAS,45.747,4.867,3.08,R
69007012,69007,LYON 7,44 AVENUE LECLERC,45.737,4.824,3.14,R
69100012,69100,Villeurbanne,72 Cours Tolstoï,45.763,4.87638,3.16,R
69100027,69100,VILLEURBANNE,72 COURS TOLSTOI,45.76299,4.87676,3.19,R
69100015,69100,Villeurbanne,Boulevard du 11 Novembre 1918,45.7789,4.87094,3.2,R
69100028,69100,VILLEURBANNE,110 BD DU 11 NOVEMBRE 1918,45.779,4.871,3.21,R
69100030,69100,VILLEURBANNE,72 COURS TOLSTOI,45.763,4.877,3.21,R
69007005,69007,LYON,112 Rue de Gerland,45.73519,4.83936,3.22,R
69007006,69007,LYON,112/116 RUE DE GERLAND,45.73519,4.83936,3.22,R
69110006,69110,SAINTE FOY LES LYON,BOULEVARD DES PROVINCES,45.748,4.801,3.23,R
69009003,69009,Lyon,69 AVENUE DU 25EME RTS,45.781,4.801,3.29,R
69009007,69009,LYON,111 RUE MARIETTON,45.77499,4.79428,3.44,R
