id,ville,cp,adresse,dist_km,lat,lon,Gazole,SP95,SP98,E10,E85,GPLc,maj
69003013,LYON,69003,258 rue Garibaldi,1.7,45.75446,4.85284,2.509,2.309,,2.269,,1.067,2026-09-18 12:54:56
69004002,Lyon,69004,22 Rue Philippe de Lassalle,1.76,45.776,4.821,2.422,,2.255,2.145,1.010,,2026-09-18 16:50:00
69004016,LYON,69004,97 RUE DENFERT ROCHEREAU,1.77,45.779,4.828,2.549,,2.374,2.274,,,2026-09-17 21:00:00
69100029,VILLEURBANNE,69100,87-89 BD STALINGRAD,2.44,45.778,4.86,2.539,,2.529,2.359,,,2026-09-16 14:35:03
69100031,VILLEURBANNE,69100,47 COURS EMILE ZOLA,2.55,45.771,4.867,2.589,,2.549,2.369,,,2026-09-16 11:34:33
69009008,LYON,69009,100 AVENUE BARTHELEMY BUYER,2.55,45.762,4.803,2.250,,,1.990,0.929,,2026-09-18 00:01:00
69004020,LYON,69004,55 BIS QUAI GILLET,2.64,45.781,4.812,2.549,,2.379,2.279,0.929,,2026-09-17 21:00:00
69300010,CALUIRE-ET-CUIRE,69300,34 Rue Pasteur,2.69,45.788,4.84,2.250,,,,,,2026-09-14 13:04:10
69003012,Lyon,69003,65 COURS ALBERT THOMAS,3.08,45.747,4.867,2.509,2.309,,2.269,,,2026-09-18 12:56:59
69007012,LYON 7,69007,44 AVENUE LECLERC,3.14,45.737,4.824,2.499,2.299,2.339,,,1.067,2026-09-18 06:00:00
69100030,VILLEURBANNE,69100,72 COURS TOLSTOI,3.21,45.763,4.877,2.569,,2.479,2.299,,,2026-09-18 13:48:55
69100028,VILLEURBANNE,69100,110 BD DU 11 NOVEMBRE 1918,3.21,45.779,4.871,2.539,,2.459,2.289,1.179,,2026-09-16 14:34:53
69007006,LYON,69007,112/116 RUE DE GERLAND,3.22,45.73519,4.83936,2.250,,1.990,1.990,0.886,,2026-09-18 00:01:00
69110006,SAINTE FOY LES LYON,69110,BOULEVARD DES PROVINCES,3.23,45.748,4.801,,,,,,,
69009003,Lyon,69009,69 AVENUE DU 25EME RTS,3.29,45.781,4.801,2.462,,2.306,2.213,0.996,,2026-09-18 07:31:00
69009007,LYON,69009,111 RUE MARIETTON,3.44,45.77499,4.79428,2.250,,1.990,1.990,,,2026-09-18 00:01:00
69002006,LYON,69002,84 QUAI PERRACHE,3.5,45.735,4.818,2.529,,2.449,2.299,,,2026-09-16 14:37:03
69110004,SAINTE-FOY-LèS-LYON,69110,Rue Commandant Charcot,3.64,45.749,4.794,2.579,,2.509,2.339,,,2026-09-16 12:20:53
69370002,Saint-Didier-au-Mont-d'Or,69370,107 ROUTE DE ST CYR,3.69,45.791,4.808,2.250,,,,0.923,,2026-09-18 00:01:00
69100001,VILLEURBANNE,69100,"145, Rue Anatole France",3.79,45.769,4.884,2.462,2.222,2.277,2.165,,,2026-09-18 00:43:00
69300011,Caluire-et-Cuire,69300,Place Maréchal Foch - Montée des soldats,3.88,45.797,4.852,2.250,,,1.990,,,2026-09-16 07:53:15
69110005,Sainte-Foy-lès-Lyon,69110,28 AVENUE MAURICE JARROSSON,3.93,45.74139,4.7968,2.369,,2.269,2.159,,,2026-09-17 08:53:58
69008007,LYON,69008,131 RUE MARIUS BERLIET,3.96,45.737,4.869,2.250,,,1.990,0.864,,2026-09-18 00:01:00
69160005,TASSIN LA DEMI LUNE,69160,49 AVENUE VICTOR HUGO,4.02,45.766,4.784,2.519,2.299,2.359,,0.919,,2026-09-18 01:08:44
69200003,VéNISSIEUX,69200,38 rue du moulin à vent,4.09,45.73012,4.85621,2.465,,2.287,2.202,0.950,,2026-09-18 15:42:18
69007008,LYON,69007,AVENUE TONY GARNIER,4.15,45.727,4.829,2.250,,1.990,1.990,0.873,0.989,2026-09-18 00:01:00
69007009,LYON,69007,AVENUE TONY GARNIER,4.24,45.726,4.84,,,,1.990,,,2026-09-18 00:01:00
69160001,TASSIN-LA-DEMI-LUNE,69160,35 AVENUE GENERAL BROSSET,4.31,45.757,4.781,2.471,,2.283,2.162,1.003,,2026-09-18 09:10:46
69350003,LA MULATIERE,69350,66 RUE STEPHANE DECHANT,4.52,45.726,4.815,2.250,,,1.990,,,2026-09-18 00:01:00
69005002,LYON,69005,131 Rue Joliot-Curie,4.54,45.754,4.779,2.449,,2.329,2.229,,,2026-09-18 08:00:00
69005005,LYON 5EME,69005,165 RUE JOLIOT CURIE,4.69,45.754,4.777,2.519,2.299,2.359,,0.919,,2026-09-18 01:07:10
69130003,Écully,69130,28 Avenue Édouard Aynard,4.7,45.779,4.779,2.458,,2.269,2.189,,,2026-09-18 07:40:00
69300001,Caluire-et-Cuire,69300,10 Chemin Jean Petit,4.9,45.805,4.859,2.413,,2.217,2.136,0.859,1.018,2026-09-18 09:21:54
69008008,LYON,69008,86 AVENUE JEAN MERMOZ,4.92,45.733,4.881,2.250,,1.990,1.990,,,2026-09-17 20:17:08
69100032,Villeurbanne,69100,"112 B, RUE LEON BLUM",5.09,45.76,4.901,2.569,,2.399,2.299,,,2026-09-18 06:00:00
69500011,Bron,69500,250 ROUTE DE GENAS,5.16,45.752,4.9,2.509,2.299,,2.269,,,2026-09-18 09:24:40
69132001,ÉCULLY,69130,Avenue du Bon Pasteur,5.22,45.787,4.777,2.449,2.202,2.276,2.180,0.899,0.999,2026-09-18 08:21:00
69500008,BRON,69500,16 AV F ROOSEVELT,5.37,45.738,4.894,2.250,,,1.990,,,2026-09-18 00:01:00
69600004,Oullins,69600,21 Grande Rue d'Oullins,5.39,45.719,4.81,2.499,2.289,2.329,2.249,,,2026-09-17 23:54:00
69340002,Francheville,69340,42 Avenue du Chater,5.49,45.744,4.771,2.352,,2.283,2.203,,,2026-09-17 11:03:00
69410006,CHAMPAGNE-AU-MONT-D'OR,69410,3 AVE GENERAL DE GAULLE,5.55,45.80042,4.78673,2.499,,2.349,2.249,,,2026-09-18 06:00:00
69200008,Vénissieux,69200,Rue Charles BAUDELAIRE,5.56,45.717,4.86,2.301,,,2.175,0.847,,2026-09-18 08:57:44
69410007,Champagne-au-Mont-d'Or,69410,AV. DU GENERAL DE GAULLE - D 30,5.58,45.801,4.787,2.250,,,,0.902,,2026-09-18 00:01:00
69130005,Écully,69130,"11, Avenue Guy de Collongue",5.59,45.78066,4.76768,2.250,,,,,,2026-09-18 07:54:02
69340001,FRANCHEVILLE,69340,AVENUE DU CHATER,5.71,45.735,4.775,2.471,2.220,2.283,2.162,,,2026-09-18 08:21:00
69600002,Oullins,69600,141 Boulevard Émile Zola,5.73,45.721,4.795,2.399,,2.269,2.159,,,2026-09-18 08:23:29
69500012,BRON,69500,296 ROUTE DE GENAS,5.89,45.75037,4.90901,2.469,,2.279,2.149,0.859,,2026-09-17 10:32:20
69200001,VéNISSIEUX,69200,BD JOLIOT CURIE,5.91,45.7177,4.87305,2.462,2.222,2.278,2.175,,1.009,2026-09-18 13:04:00
69160003,Tassin-la-Demi-Lune,69160,50 Avenue du 11 Novembre 1918,5.95,45.764,4.759,2.438,,2.274,2.194,1.003,,2026-09-18 07:31:00
69500009,BRON,69500,BD LAURENT BONNEVAY,6.05,45.739,4.905,2.250,,1.990,1.990,0.861,0.999,2026-09-18 00:01:00
69100022,VILLEURBANNE,69100,283 RTE DE GENAS,6.17,45.74977,4.91257,,,,,,,
69120013,Vaulx-en-Velin,69120,AVE GABRIEL PERI/ RUE P.TESTE,6.17,45.7742,4.91394,2.549,,2.379,2.279,,,2026-09-18 06:00:00
69190010,ST FONS,69190,RN 383 BRD PIERRE SEMARD,6.36,45.707,4.843,2.539,,2.529,2.299,,,2026-09-18 13:52:06
69140006,Rillieux-la-Pape,69140,140 Rue du Companet,6.39,45.812,4.881,2.393,,,2.126,0.859,,2026-09-17 19:45:00
69190001,SAINT-FONS,69190,2 place des 4 chemins,6.4,45.708,4.855,2.399,,2.219,2.199,,,2026-09-08 09:50:57
69500013,BRON,69500,142/144 AVENUE FRANKLIN ROOSEVELT,6.63,45.73257,4.9083,2.318,,,2.106,0.848,,2026-09-10 16:38:43
69270004,Fontaines-sur-Saône,69270,"46, AV.DES MARRONNIERS",6.68,45.82109,4.86263,2.250,,1.990,1.990,0.874,,2026-09-18 00:01:00
69260012,Charbonnières-les-Bains,69260,80 ROUTE DE PARIS,6.78,45.779,4.751,2.549,,2.399,2.299,0.999,1.099,2026-09-17 20:45:00
69260011,CHARBONNIERES,69260,50-51 ROUTE DE PARIS,7.01,45.784,4.75,2.549,,2.399,2.299,,,2026-09-18 06:30:00
69200005,Vénissieux,69200,112 Boulevard Irène Joliot-Curie,7.04,45.71,4.883,2.476,,2.297,2.217,,,2026-09-18 07:31:00
69120011,Vaulx-en-Velin,69120,57 Avenue de Bohlen,7.09,45.76618,4.92702,2.250,,,1.990,0.889,,2026-09-14 07:14:05
69570005,DARDILLY,69570,AUTOROUTE A6 - AIRE DE BRUYÈRES PAISY,7.15,45.80877,4.76959,2.250,,1.990,1.990,,0.999,2026-09-18 00:01:00
69310004,Pierre-Bénite,69310,126 BOULEVARD DE L EUROPE,7.25,45.69935,4.82364,2.250,,1.990,1.990,0.885,0.999,2026-09-18 00:01:00
69140005,RILLIEUX-LA-PAPE,69140,2489 Route de Strasbourg,7.29,45.817,4.891,2.439,,2.259,2.199,,,2026-09-18 09:04:40
69200007,VENISSIEUX,69200,61 Avenue de la République,7.34,45.705,4.878,2.539,,2.459,2.279,,,2026-09-16 11:37:32
69230005,Saint-Genis-Laval,69230,66 RUE GEORGES CLEMENCEAU,7.55,45.702,4.796,2.529,,2.459,2.389,1.189,,2026-09-16 11:37:22
69290003,CRAPONNE,69290,26 Avenue Édouard Millaud,7.59,45.747,4.741,2.429,,2.299,2.185,,,2026-09-16 10:58:46
69290001,Craponne,69290,15 Avenue Édouard Millaud,7.59,45.747,4.741,2.418,,2.291,2.193,,,2026-09-18 16:50:00
69310003,Pierre-Bénite,69310,145 Boulevard de l'Europe,7.6,45.696,4.826,2.459,,2.279,2.199,,,2026-09-17 11:10:00
